subject,06,07,08,09,10,11,12,13,14,15,16,17,18
28,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**,no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
29,no-pi-[passes-check],**PI**,no-pi-[passes-check],no-pi,**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
30,**PI**-[passes-check],**PI**,**PI**-[passes-check],no-pi,no-pi,no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
31,**PI**-[passes-check],**PI**,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
32,**PI**-[passes-check],**PI**,no-pi,no-pi,no-pi-[passes-check],**PI**,no-pi-[passes-check],**PI**-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
33,**PI**-[passes-check],**PI**,**PI**-[passes-check],no-pi,**PI**-[passes-check],**PI**-[passes-check],**PI**,**PI**-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,
34,no-pi-[passes-check],**PI**,**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
35,no-pi-[passes-check],no-pi-[passes-check],**PI**,no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
36,**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
37,no-pi-[passes-check],**PI**-[passes-check],no-pi,**PI**,**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
38,**PI**-[passes-check],**PI**,**PI**-[passes-check],no-pi,**PI**,**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
39,**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi,no-pi-[passes-check],**PI**-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
40,**PI**-[passes-check],**PI**-[passes-check],**PI**,**PI**,**PI**-[passes-check],**PI**-[passes-check],no-pi,no-pi-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
41,**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi,**PI**-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
42,**PI**-[passes-check],no-pi-[passes-check],no-pi,no-pi,no-pi-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
43,**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
44,**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
45,no-pi-[passes-check],**PI**,**PI**,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
46,no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
